"response","correction"
"Facultad","facultad"
"faina","fainá"
"famelico","famélico"
"famila","familia"
"Familia","familia"
"família","familia"
"fanatica","fanática"
"fanaticas","fanáticas"
"fanatico","fanático"
"fanaticos","fanáticos"
"fanfarron","fanfarrón"
"fantacia","fantasía"
"fantasia","fantasía"
"fantasias","fantasías"
"fantastica","fantástica"
"fantastico","fantástico"
"far west","Far West"
"farandula","farándula"
"faraon","faraón"
"farmaco","fármaco"
"farmacos","fármacos"
"farzante","farsante"
"fasista","fascista"
"fbi","FBI"
"Fbi","FBI"
"fé","fe"
"fecundacion","fecundación"
"Felicidad","felicidad"
"felicidas","felicidad"
"felicitacion","felicitación"
"Feliz","feliz"
"felíz","feliz"
"felucidad","felicidad"
"feluz","feliz"
"fenix","fénix"
"fenomena","fenómena"
"fenomeno","fenómeno"
"fenomenos","fenómenos"
"feretro","féretro"
"ferrari","Ferrari"
"ferreteria","ferretería"
"fertil","fértil"
"fetida","fétida"
"fetido","fétido"
"fibonacci","Fibonacci"
"fibron","fibrón"
"ficcion","ficción"
"fidel","Fidel"
"fijacion","fijación"
"filiacion","filiación"
"filmacion","filmación"
"filosofa","filósofa"
"filosofia","filosofía"
"filosofica","filosófica"
"filosoficas","filosóficas"
"filosofico","filosófico"
"filosoficos","filosóficos"
"filosofo","filósofo"
"finalizacion","finalización"
"finesa","fineza"
"firmesa","firmeza"
"fisgon","fisgón"
"fisica","física"
"fisicas","físicas"
"fisico","físico"
"fisicos","físicos"
"flaccido","flácido"
"fláccido","flácido"
"flacido","flácido"
"flemon","flemón"
"florencia","Florencia"
"fluída","fluida"
"fluides","fluidez"
"fluído","fluido"
"fluídos","fluidos"
"fluo","flúo"
"fluor","flúor"
"fm","FM"
"fogon","fogón"
"folclore","folklore"
"folico","fólico"
"follon","follón"
"football","fútbol"
"foraneo","foráneo"
"forestacion","forestación"
"formacion","formación"
"formula","fórmula"
"formulas","fórmulas"
"fosforo","fósforo"
"fosforos","fósforos"
"fosil","fósil"
"fotografia","fotografía"
"fotografias","fotografías"
"fotosintesis","fotosíntesis"
"foucault","Foucault"
"fraccion","fracción"
"fragil","frágil"
"fragiles","frágiles"
"frances","francés"
"francia","Francia"
"francisco","Francisco"
"frasada","frazada"
"freir","freír"
"freire","Freire"
"frenetico","frenético"
"frente amplio","Frente Amplio"
"freud","Freud"
"fria","fría"
"frias","frías"
"friccion","fricción"
"frii","frío"
"frio","frío"
"frìo","frío"
"frios","fríos"
"frivola","frívola"
"frivolas","frívolas"
"frivolo","frívolo"
"frivolos","frívolos"
"fronton","frontón"
"frustacion","frustración"
"frustracion","frustración"
"fué","fue"
"fuera de si","fuera de sí"
"fueza","fuerza"
"fugas","fugaz"
"funcion","función"
"fundacion","fundación"
"funebre","fúnebre"
"furbol","fútbol"
"fusion","fusión"
"futbol","fútbol"
"Futbol","fútbol"
"futil","fútil"
"galan","galán"
"galardon","galardón"
"galeria","galería"
"galpon","galpón"
"ganaderia","ganadería"
"ganzo","ganso"
"garantia","garantía"
"garantias","garantías"
"gardel","Gardel"
"garron","garrón"
"gas oil","gasoil"
"gelida","gélida"
"gelidas","gélidas"
"gelido","gélido"
"gelidos","gélidos"
"geminis","géminis"
"genealogia","genealogía"
"generacion","generación"
"genero","género"
"generos","géneros"
"genesis","génesis"
"genetica","genética"
"geneticas","genéticas"
"genetico","genético"
"geneticos","genéticos"
"gentio","gentío"
"geografia","geografía"
"geografico","geográfico"
"geometria","geometría"
"geometrica","geométrica"
"geometrico","geométrico"
"gerarquia","jerarquía"
"gerarquía","jerarquía"
"germenes","gérmenes"
"gerra","guerra"
"gestacion","gestación"
"gestiacion","gestación"
"gestion","gestión"
"ghana","Ghana"
"gimnacia","gimnasia"
"gimnacio","gimnasio"
"girafa","jirafa"
"glamur","glamour"
"glandula","glándula"
"globalizacion","globalización"
"gloton","glotón"
"glotoneria","glotonería"
"gluteo","glúteo"
"gluteos","glúteos"
"gmail","Gmail"
"Gobierno","gobierno"
"goliat","Goliat"
"gondola","góndola"
"gondolas","góndolas"
"google","Google"
"goze","goce"
"gps","GPS"
"graduacion","graduación"
"grafica","gráfica"
"graficiacion","gratificación"
"grafico","gráfico"
"gramatica","gramática"
"gratificacion","gratificación"
"grapadora","engrampadora"
"gravamen","gravámen"
"gravamenes","gravámenes"
"grecia","Grecia"
"griton","gritón"
"griz","gris"
"groseria","grosería"
"grua","grúa"
"gruñon","gruñón"
"Guardar","guardar"
"guarderia","guardería"
"guardian","guardián"
"guevara","Guevara"
"guia","guía"
"guias","guías"
"guion","guión"
"guri","gurí"
"h20","H2O"
"h2o","H2O"
"habia","había"
"habil","hábil"
"habilitacion","habilitación"
"habitab","hábitat"
"habitacion","habitación"
"habitad","hábitat"
"habitat","hábitat"
"habito","hábito"
"habitos","hábitos"
"habladuria","habladuría"
"habladurias","habladurías"
"halley","Halley"
"halloween","Halloween"
"haloween","Halloween"
"hámster","hamster"
"haragan","haragán"
"harry","Harry"
"harry potter","Harry Potter"
"haslo","hazlo"
"hastio","hastío"
"hawaii","Hawaii"
"hayar","hallar"
"hechado","echado"
"hechar","echar"
"heladeria","heladería"
"helice","hélice"
"helicoptero","helicóptero"
"hermetico","hermético"
"hermitaño","ermitaño"
"heroe","héroe"
"heroes","héroes"
"heroina","heroína"
"heroismo","heroísmo"
"herreria","herrería"
"heterogenea","heterogénea"
"heterogeneas","heterogéneas"
"heterogeneo","heterogéneo"
"heterogeneos","heterogéneos"
"hevilla","hebilla"
"hidrogeno","hidrógeno"
"higado","hígado"
"higienico","higiénico"
"hinchazon","hinchazón"
"hipocrecia","hipocresía"
"hipocrecía","hipocresía"
"hipocresia","hipocresía"
"hipocrita","hipócrita"
"hipocritas","hipócritas"
"hipotesis","hipótesis"
"hipotetico","hipotético"
"histerica","histérica"
"histerico","histérico"
"historico","histórico"
"hitler","Hitler"
"hiv","HIV"
"holanda","Holanda"
"holgazan","holgazán"
"hollin","hollín"
"hollywood","Hollywood"
"holmes","Holmes"
"homero","Homero"
"homo sapiens","Homo sapiens"
"homogenea","homogénea"
"homogeneas","homogéneas"
"homogeneo","homogéneo"
"homogeneos","homogéneos"
"homosapiens","Homo sapiens"
"horacio","Horacio"
"hormigon","hormigón"
"horoscopo","horóscopo"
"huerfano","huérfano"
"huesped","huésped"
"huída","huida"
"humeda","húmeda"
"humedo","húmedo"
"humillacion","humillación"
"huracan","huracán"
"icono","ícono"
"iconos","íconos"
"idem","ídem"
"identico","idéntico"
"identicos","idénticos"
"identificacion","identificación"
"ideologia","ideología"
"ideologias","ideologías"
"ideologica","ideológica"
"ideologico","ideológico"
"idilica","idílica"
"idilicas","idílicas"
"idilico","idílico"
"idilicos","idílicos"
"idola","ídola"
"idolas","ídolas"
"idolatria","idolatría"
"idolo","ídolo"
"idolos","ídolos"
"idoneo","idóneo"
"iglecia","iglesia"
"Iglesia","iglesia"
"iglu","iglú"
"ignacio","Ignacio"
"iguazu","Iguazú"
"Iguazu","Iguazú"
"iguazú","Iguazú"
"iliada","Ilíada"
"ilíada","Ilíada"
"ilicita","ilícita"
"ilicitas","ilícitas"
"ilicito","ilícito"
"ilicitos","ilícitos"
"ilogica","ilógica"
"ilogico","ilógico"
"ilucion","ilusión"
"ilución","ilusión"
"iluminacion","iluminación"
"ilusion","ilusión"
"ilustracion","ilustración"
"imágen","imagen"
"imagenes","imágenes"
"imaginacion","imaginación"
"iman","imán"
"imbecil","imbécil"
"imitacion","imitación"
"impetu","ímpetu"
"imposicion","imposición"
"impresindible","imprescindible"
"impresindibles","imprescindibles"
"impresion","impresión"
"inaccion","inacción"
"inalambrica","inalámbrica"
"inalambricas","inalámbricas"
"inalambrico","inalámbrico"
"inalambricos","inalámbricos"
"inalcansable","inalcanzable"
"inauguracion","inauguración"
"inbancable","imbancable"
"incandecente","incandescente"
"incapas","incapaz"
"inclinacion","inclinación"
"inclusion","inclusión"
"incognita","incógnita"
"incognitas","incógnitas"
"incognito","incógnito"
"incomoda","incómoda"
"incomodo","incómodo"
"incomprension","incomprensión"
"incomunicacion","incomunicación"
"inconciencia","inconsciencia"
"inconciente","inconsciente"
"inconcientemente","inconscientemente"
"inconsiencia","inconsciencia"
"inconsiente","inconsciente"
"incredula","incrédula"
"incredulas","incrédulas"
"incredulo","incrédulo"
"incredulos","incrédulos"
"increible","increíble"
"indecision","indecisión"
"indesicion","indecisión"
"indesiso","indeciso"
"india","India"
"indicacion","indicación"
"indice","índice"
"indigena","indígena"
"indigenas","indígenas"
"indignacion","indignación"
"induccion","inducción"
"inecesario","innecesario"
"inequivoco","inequívoco"
"infeccion","infección"
"infertil","infértil"
"infima","ínfima"
"infimas","ínfimas"
"infimo","ínfimo"
"infimos","ínfimos"
"infirmacion","información"
"inflacion","inflación"
"inflamacion","inflamación"
"informacion","información"
"informatica","informática"
"informatico","informático"
"infraccion","infracción"
"infusion","infusión"
"ingenieria","ingeniería"
"inglaterra","Inglaterra"
"ingles","inglés"
"inmobil","inmóvil"
"inmovil","inmóvil"
"innovacion","innovación"
"inpensado","impensado"
"inpuntual","impuntual"
"inquisicion","inquisición"
"insatisfaccion","insatisfacción"
"insertidumbre","incertidumbre"
"insipida","insípida"
"insipidas","insípidas"
"insipido","insípido"
"insipidos","insípidos"
"insolita","insólita"
"insolitas","insólitas"
"insolito","insólito"
"insolitos","insólitos"
"inspeccion","inspección"
"inspiracion","inspiración"
"instagram","Instagram"
"instantanea","instantánea"
"instantaneas","instantáneas"
"instantaneo","instantáneo"
"instantaneos","instantáneos"
"institucion","institución"
"instruccion","instrucción"
"integra","íntegra"
"integracion","integración"
"integro","íntegro"
"intencion","intención"
"interaccion","interacción"
"interes","interés"
"internacion","internación"
"Internet","internet"
"interpretacion","interpretación"
"interprete","intérprete"
"interrogacion","interrogación"
"interrupcion","interrupción"
"interseccion","intersección"
"intervencion","intervención"
"intima","íntimas"
"intimo","íntimo"
"intimos","íntimos"
"intoxicacion","intoxicación"
"intrepida","intrépida"
"intrepidas","intrépidas"
"intrepido","intrépido"
"intrepidos","intrépidos"
"introduccion","introducción"
"intromision","intromisión"
"introspeccion","introspección"
"intrumento","instrumento"
"intuicion","intuición"
"inundacion","inundación"
"inutil","inútil"
"inutiles","inútiles"
"invacion","invasión"
"invalida","inválida"
"invalidas","inválidas"
"invalido","inválido"
"invalidos","inválidos"
"invancable","imbancable"
"invasion","invasión"
"invencion","invención"
"inverosimil","inverosímil"
"inverosimiles","inverosímiles"
"inversion","inversión"
"investigacion","investigación"
"invitacion","invitación"
"inyeccion","inyección"
"iphone","iPhone"
"ireal","irreal"
"irlanda","Irlanda"
"ironia","ironía"
"irritacion","irritación"
"irupcion","irrupción"
"isosceles","isósceles"
"israel","Israel"
"italia","Italia"
"item","ítem"
"items","ítems"
"iva","IVA"
"jabon","jabón"
"jajajaja","jajaja"
"jamas","jamás"
"jamon","jamón"
"japon","Japón"
"japón","Japón"
"japones","japonés"
"jardin","jardín"
"jardineria","jardinería"
"jarron","jarrón"
"javier","Javier"
"jazmin","jazmín"
"jerarquia","jerarquía"
"jesus","Jesús"
"Jesus","Jesús"
"jesús","Jesús"
"joggin","jogging"
"john lennon","John Lennon"
"john lenon","John Lennon"
"jorge","Jorge"
"jose","José"
"josé","José"
"jóven","joven"
"jovenes","jóvenes"
"joyeria","joyería"
"juan","Juan"
"juana","Juana"
"juancho","Juancho"
"jubilacion","jubilación"
"jubilo","júbilo"
"júblio","júbilo"
"jucio","juicio"
"judia","judía"
"judias","judías"
"judio","judío"
"judios","judíos"
"jugarsela","jugársela"
"jugueton","juguetón"
"jujuy","Jujuy"
"julieta","Julieta"
"juridica","jurídica"
"juridico","jurídico"
"justificacion","justificación"
"kabutia","kabutiá"
"kadabra","cadabra"
"kerosén","querosén"
"kerosene","querosén"
"keroseno","querosén"
"kilombo","quilombo"
"kilometro","kilómetro"
"kilometros","kilómetros"
"kiosko","kiosco"
"labil","lábil"
"lacrimogena","lacrimógena"
"lacteas","lácteas"
"lacteo","lácteo"
"lacteos","lácteos"
"ladron","ladrón"
"lagrima","lágrima"
"lagrimas","lágrimas"
"lamina","lámina"
"laminas","láminas"
"lampara","lámpara"
"languida","lánguida"
"languidas","lánguidas"
"languido","lánguido"
"languidos","lánguidos"
"lapices","lápices"
"lapida","lápida"
"lapidas","lápidas"
"lapiz","lápiz"
"larrañaga","Larrañaga"
"laser","láser"
"latex","látex"
"latigo","látigo"
"latin","latín"
"latinoamerica","Latinoamérica"
"Latinoamerica","Latinoamérica"
"latinoamérica","Latinoamérica"
"laura","Laura"
"lavalleja","Lavalleja"
"lavarropa","lavarropas"
"lcd","LCD"
"league of legends","League of Legends"
"leccion","lección"
"lecheria","lechería"
"legislacion","legislación"
"legitimo","legítimo"
"leido","leído"
"lejania","lejanía"
"lenceria","lencería"
"lennon","Lennon"
"leon","león"
"Leon","león"
"León","león"
"lesion","lesión"
"lesviana","lesbiana"
"lexico","léxico"
"lgbt","LGBT"
"libelula","libélula"
"liberacion","liberación"
"libreria","librería"
"lider","líder"
"lideres","líderes"
"limitacion","limitación"
"limite","límite"
"limites","límites"
"limitrofe","limítrofe"
"limon","limón"
"limpido","límpido"
"linea","línea"
"lineas","líneas"
"linguistica","lingüística"
"linguística","lingüística"
"lio","lío"
"lios","líos"
"liquida","líquida"
"liquido","líquido"
"liquidos","líquidos"
"lirico","lírico"
"livertad","libertad"
"liz","luz"
"lloron","llorón"
"lobrego","lóbrego"
"lobulo","lóbulo"
"lobulos","lóbulos"
"localizacion","localización"
"locomocion","locomoción"
"locucion","locución"
"logica","lógica"
"logico","lógico"
"logistica","logística"
"londres","Londres"
"lorenzo","Lorenzo"
"los simpson","Simpsons"
"los simpsons","Simpsons"
"losa","loza"
"loteria","lotería"
"lucas","Lucas"
"lucido","lúcido"
"ludico","lúdico"
"lugat","lugar"
"lugubre","lúgubre"
"luis","Luis"
"Luna","luna"
"lux","luz"
"Luz","luz"
"machucon","machucón"
"maciso","macizo"
"macri","Macri"
"madrid","Madrid"
"mafalda","Mafalda"
"magestuoso","majestuoso"
"magica","mágica"
"magico","mágico"
"magnetica","magnética"
"magnetico","magnético"
"magnifico","magnífico"
"maiz","maíz"
"mal estar","malestar"
"mal humor","malhumor"
"mal trato","maltrato"
"maldicion","maldición"
"maldonado","Maldonado"
"malechor","malhechor"
"malefica","maléfica"
"maleficas","maléficas"
"malefico","maléfico"
"maleficos","maléficos"
"maletin","maletín"
"malevolo","malévolo"
"malevolos","malévolos"
"mali","malo"
"malisima","malísima"
"malisimas","malísimas"
"malisimo","malísimo"
"malisimos","malísimos"
"malvinas","Malvinas"
"mama","mamá"
"mamà","mamá"
"mamifero","mamífero"
"mamiferos","mamífero"
"manana","mañana"
"mandamas","mandamás"
"mandibula","mandíbula"
"mandibulas","mandíbulas"
"mandon","mandón"
"manganga","mangangá"
"mani","maní"
"mania","manía"
"maniaco","maníaco"
"manias","manías"
"maniatica","maniático"
"maniaticas","maniáticos"
"maniatico","maniático"
"maniaticos","maniáticos"
"manies","maníes"
"manifestacion","manifestación"
"manipulacion","manipulación"
"maniqui","maniquí"
"mansion","mansión"
"manuel","Manuel"
"manuelita","Manuelita"
"maquina","máquina"
"maquina de coser","máquina de coser"
"maquinas","máquinas"
"maradona","Maradona"
"maraton","maratón"
"maria","María"
"maría","María"
"maricon","maricón"
"mario","Mario"
"maritimo","marítimo"
"marley","Marley"
"marmol","mármol"
"marron","marrón"
"martir","mártir"
"marvel","Marvel"
"marx","Marx"
"mas","más"
"màs","más"
"mas tarde","más tarde"
"mascara","máscara"
"masiso","macizo"
"masizo","macizo"
"master","máster"
"mastil","mástil"
"masturbacion","masturación"
"mat","mar"
"matematica","matemática"
"matematicas","matemáticas"
"matematico","matemático"
"matillo","martillo"
"maxima","máxima"
"maximo","máximo"
"mayoria","mayoría"
"mayorias","mayorías"
"mayuscula","mayúscula"
"mayusculo","mayúsculo"
"Mc Donald's","McDonald's"
"mc donalds","McDonald's"
"mecanica","mecánica"
"mecanico","mecánico"
"medica","médica"
"medicacion","medicación"
"medicion","medición"
"medico","médico"
"medicos","médicos"
"medioambiente","medio ambiente"
"mediodia","mediodía"
"meditacion","meditación"
"mediterraneo","mediterráneo"
"medula","médula"
"medulas","médulas"
"megestuosa","majestuosa"
"mejico","México"
"Mejico","México"
"méjico","México"
"Méjico","México"
"mejoria","mejoría"
"mejorias","mejorías"
"melancolia","melancolía"
"melancolica","melancólica"
"melancolicas","melancólicas"
"melancolico","melancólico"
"melancolicos","melancólicos"
"melchor","Melchor"
"melodia","melodía"
"melon","melón"
"mencion","mención"
"mendoza","Mendoza"
"menstruacion","menstruación"
"menton","mentón"
"menu","menú"
"mercaderia","mercadería"
"mercaderias","mercaderías"
"mercancia","mercancía"
"mercosur","MERCOSUR"
"merito","mérito"
"meritos","méritos"
"mescla","mezcla"
"mesias","mesías"
"mesquino","mezquino"
"messi","Messi"
"mestruacion","menstruación"
"metafora","metáfora"
"metaforas","metáforas"
"metalica","metálica"
"metalicas","metálicas"
"metalico","metálico"
"metalicos","metálicos"
"meteorologica","meteorológica"
"metodica","metódica"
"metodicas","metódicas"
"metodico","metódico"
"metodicos","metódicos"
"metodo","método"
"metodologia","metodología"
"metodos","métodos"
"metrica","métrica"
"Mexico","México"
"méxico","México"
"mexico","México"
"mia","mía"
"miami","Miami"
"mias","mías"
"mickey","Mickey"
"microfono","micrófono"
"microscopica","microscópica"
"microscopicas","microscópicas"
"microscopico","microscópico"
"microscopicos","microscópicos"
"mides","MIDES"
"miefo","miedo"
"miercoles","miércoles"
"migracion","migración"
"millon","millón"
"mineria","minería"
"minima","mínima"
"minimas","mínimas"
"minimo","mínimo"
"minoria","minoría"
"minorias","minorías"
"minuscula","minúscula"
"minusculo","minúsculo"
"minusioso","minucioso"
"minusvalido","minusválido"
"mio","mío"
"miopia","miopía"
"mios","míos"
"miron","mirón"
"mision","misión"
"mistica","mística"
"misticas","místicas"
"mistico","místico"
"misticos","místicos"
"mitica","mítica"
"miticas","míticas"
"mitico","mítico"
"miticos","míticos"
"mitologia","mitología"
"modificacion","modificación"
"mogolica","mongólica"
"mogolicas","mongólicas"
"mogolico","mongólico"
"mogolicos","mongólicos"
"moises","Moisés"
"moisés","Moisés"
"molecula","molécula"
"moleculas","moléculas"
"momentaneo","momentáneo"
"monarquia","monarquía"
"mongolica","mongólica"
"mongolicas","mongólicas"
"mongolico","mongólico"
"mongolicos","mongólicos"
"monologo","monólogo"
"monologos","monólogos"
"monotonia","monotonía"
"monotono","monótono"
"montevideo","Montevideo"
"monton","montón"
"morbido","mórbido"
"moreton","moretón"
"morfeo","Morfeo"
"morron","morrón"
"motivacion","motivación"
"movil","móvil"
"moviliación","movilización"
"movilizacion","movilización"
"movistar","Movistar"
"msn","MSN"
"mujica","Mujica"
"muker","mujer"
"multiple","múltiple"
"multiples","múltiples"
"multiplicacion","multiplicación"
"multiplo","múltiplo"
"multiplos","múltiplos"
"municion","munición"
"murcielago","murciélago"
"muscia","música"
"musculacion","musculación"
"musculo","músculo"
"musculos","músculos"
"musica","música"
"Musica","música"
"musico","músico"
"musicos","músicos"
"musics","música"
"mutacion","mutación"
"muzarella","muzzarella"
"muzzarela","muzzarella"
"nacion","nación"
"ñandu","ñandú"
"narcotico","narcótico"
"narcoticos","narcóticos"
"narracion","narración"
"nasa","NASA"
"Nasa","NASA"
"natacion","natación"
"naufrago","náufrago"
"nausea","náusea"
"nauseas","náuseas"
"navegacion","navegación"
"navidad","Navidad"
"navio","navío"
"nectar","néctar"
"nefritico","nefrítico"
"nefriticos","nefríticos"
"negacion","negación"
"negociacion","negociación"
"nemo","Nemo"
"neruda","Neruda"
"ñery","ñeri"
"ñerys","ñeris"
"nestor","Néstor"
"Nestor","Néstor"
"néstor","Néstor"
"netflix","Netflix"
"neumatico","neumático"
"neurotica","neurótica"
"neuroticas","neuróticas"
"neurotico","neurótico"
"neuroticos","neuróticos"
"neutron","neutrón"
"new york","New York"
"newton","Newton"
"nike","Nike"
"nilo","Nilo"
"niñes","niñez"
"ninez","niñez"
"nino","niño"
"ninos","niños"
"nipon","nipón"
"nitida","nítida"
"nitidas","nítidas"
"nitido","nítido"
"nitidos","nítidos"
"nitrico","nítrico"
"nitrogeno","nitrógeno"
"No","no"
"no esta","no está"
"no se","no sé"
"nobe","Nobel"
"nocion","noción"
"noe","Noé"
"noel","Noel"
"nomada","nómada"
"nomadas","nómadas"
"nomade","nómade"
"nomades","nómades"
"norteamerica","norteamérica"
"nose","no sé"
"notificacion","notificación"
"notre dame","Notre Dame"
"nucleo","núcleo"
"nuemero","número"
"nueva york","Nueva York"
"numeracion","numeración"
"numerica","numérica"
"numericas","numéricas"
"numerico","numérico"
"numericos","numéricos"
"numero","número"
"numeros","números"
"numerós","números"
"nunero","número"
"nutricion","nutrición"
"nuve","nube"
"nuves","nubes"
"obceno","obsceno"
"obeja","oveja"
"obito","óbito"
"obligacion","obligación"
"obscuridad","oscuridad"
"obscuro","oscuro"
"obsecion","obsesión"
"obsena","obscena"
"obsenas","obscenas"
"obseno","obsceno"
"obsenos","obscenos"
"observacion","observación"
"obsesion","obsesión"
"obstaculo","obstáculo"
"obstaculos","obstáculos"
"obstruccion","obstrucción"
"obtencion","obtención"
"ocacion","ocasión"
"ocacional","ocasional"
"ocasion","ocasión"
"oceano","océano"
"oceanos","océanos"
"ocupacion","ocupación"
"ocurrio","ocurrió"
"odontologa","odontóloga"
"odontologas","odontólogas"
"odontologo","odontólogo"
"odontologos","odontólogos"
"oftalmologo","oftalmólogo"
"oido","oído"
"oidos","oídos"
"oir","oír"
"oja","hoja"
"ojala","ojalá"
"ojas","hojas"
"okey","ok"
"oleo","óleo"
"oligarquia","oligarquía"
"olimpiadas","olimpíadas"
"olimpico","olímpico"
"olivia","Olivia"
"omnibus","ómnibus"
"ondo","hondo"
"ondulacion","ondulación"
"ong","ONG"
"on line","online"
"on-line","online"
"opcion","opción"
"opera","ópera"
"operacion","operación"
"opinion","opinión"
"oposicion","oposición"
"oprecion","opresión"
"opresion","opresión"
"oprtunidad","oportunidad"
"optica","óptica"
"optico","óptico"
"oracion","oración"
"orbita","órbita"
"órden","orden"
"ordenes","órdenes"
"oregano","orégano"
"organica","orgánica"
"organicas","orgánicas"
"organico","orgánico"
"organicos","orgánicos"
"organizacion","organización"
"organo","órgano"
"organos","órganos"
"orgia","orgía"
"orgias","orgías"
"orientacion","orientación"
"origenes","orígenes"
"orin","orín"
"orrible","horrible"
"orribles","horribles"
"ortografia","ortografía"
"osadia","osadía"
"oscar","Óscar"
"osco","hosco"
"oseo","óseo"
"osio","ocio"
"ostentacion","ostentación"
"ostia","hostia"
"ostigamiento","hostigamiento"
"ostigar","hostigar"
"otorrino","otorrinolaringólogo"
"ovalo","óvalo"
"oviparo","ovíparo"
"ovulo","óvulo"
"oxido","óxido"
"oxigeno","oxígeno"
"pablo","Pablo"
"pacifco","pacífico"
"pacifcos","pacíficos"
"pacifica","pacífica"
"pacificas","pacíficas"
"pacifico","pacífico"
"pagina","página"
"paginas","páginas"
"pais","país"
"Pais","país"
"paises","países"
"pajaro","pájaro"
"PAJARO","pájaro"
"pajaros","pájaros"
"palabrerio","palabrerío"
"palermo","Palermo"
"palido","pálido"
"palpitacion","palpitación"
"palpito","pálpito"
"panaderia","panaderías"
"panama","Panamá"
"pancreas","páncreas"
"panico","pánico"
"pantalon","pantalón"
"papa noel","Papá Noel"
"papá noel","Papá Noel"
"papelon","papelón"
"paracaidas","paracaídas"
"paragua","paraguas"
"paraguay","Paraguay"
"paraiso","paraíso"
"paralisis","parálisis"
"paralitca","paralítica"
"paralitico","paralítico"
"parametro","parámetro"
"parasito","parásito"
"parasitos","parásitos"
"paredon","paredón"
"parentezco","parentesco"
"paris","París"
"Paris","París"
"parlanchin","parlanchín"
"parpado","párpado"
"parpados","párpados"
"parrafo","párrafo"
"parrafos","párrafos"
"participacion","participación"
"participe","partícipe"
"particula","partícula"
"particulas","partículas"
"pasiencia","paciencia"
"pasion","pasión"
"pasteleria","pastelería"
"patagonia","Patagonia"
"patetico","patético"
"patin","patín"
"patologia","patología"
"patologias","patologías"
"patriotica","patriótica"
"patrioticas","patrióticas"
"patriotico","patriótico"
"patrioticos","patrióticos"
"patron","patrón"
"pauperrimo","paupérrimo"
"pc","PC"
"peaton","peatón"
"pedofilo","pedófilo"
"pedofilos","pedófilos"
"pedro","Pedro"
"pelicula","película"
"Pelicula","película"
"peliculas","películas"
"peluqueria","peluquería"
"peñarol","Peñarol"
"penetracion","penetración"
"peon","peón"
"pepe","Pepe"
"pequeno","pequeño"
"percepcion","percepción"
"percusion","percusión"
"perdicion","perdición"
"perdida de tiempo","pérdida de tiempo"
"perdio","perdió"
"perdon","perdón"
"peresa","pereza"
"peresosa","perezosa"
"peresosas","perezosas"
"peresoso","perezoso"
"peresosos","perezosos"
"perez","Pérez"
"perfeccion","perfección"
"perimetro","perímetro"
"perimetros","perímetros"
"periodica","periódica"
"periodico","periódico"
"periodicos","períodicos"
"periodistica","perdiodística"
"periodistico","periodístico"
"periodo","período"
"periodos","períodos"
"peron","Perón"
"Peron","Perón"
"perón","Perón"
"persecucion","persecución"
"personad","personas"
"peru","Perú"
"Peru","Perú"
"pes","pez"
"pesima","pésima"
"pesimas","pésimas"
"pesimo","pésimo"
"pesimos","pésimos"
"peter","Peter"
"peticion","petición"
"petizo","petiso"
"petroleo","petróleo"
"pezca","pesca"
"pezcado","pescado"
"pezon","pezón"
"picardia","picardía"
"picaro","pícaro"
"picason","picazón"
"picasso","Picasso"
"picazon","picazón"
"pildora","píldora"
"pildoras","píldoras"
"pimenton","pimentón"
"pinky","Pinky"
"pinocho","Pinocho"
"pio","pío"
"piolin","piolín"
"pipi","pipí"
"piramide","pirámide"
"piramides","pirámides"
"pitagoras","Pitágoras"
"pitágoras","Pitágoras"
"pittamiglio","Pittamiglio"
"piza","pizza"
"pizarron","pizarrón"
"pizzeria","pizzería"
"placar","placard"
"planificacion","planificación"
"plantacion","plantación"
"plastica","plástica"
"plasticas","plásticas"
"plastico","plástico"
"platano","plátano"
"plateria","platería"
"platon","Platón"
"platón","Platón"
"plumifero","plumífero"
"plusvalia","plusvalía"
"poblacion","población"
"pobresa","pobreza"
"pocion","poción"
"pocker","póker"
"poesia","poesía"
"poker","póker"
"polici","policía"
"policia","policía"
"Policia","policía"
"Policía","policía"
"policias","policías"
"polinizacion","polinización"
"politica","política"
"Política","política"
"politicas","políticas"
"politico","político"
"politicos","políticos"
"poliza","póliza"
"polizon","polizón"
"polucion","polución"
"polvora","pólvora"
"popeye","Popeye"
"popo","popó"
"por que","por qué"
"porcion","porción"
"pororo","pororó"
"porqué","por qué"
"porqueria","porquería"
"porquerias","porquerías"
"portatil","portátil"
"porton","portón"
"posecion","posesión"
"posesion","posesión"
"posicion","posición"
"posion","poción"
"posión","poción"
"poso","pozo"
"posos","pozos"
"poster","póster"
"power point","Powerpoint"
"Power point","Powerpoint"
"power Point","Powerpoint"
"powerpoint","Powerpoint"
"practica","práctica"
"practico","práctico"
"precaucion","precaución"
"precausion","precaución"
"precidente","presidente"
"precionar","presionar"
"precision","precisión"
"prediccion","predicción"
"predisposicion","predisposición"
"premonicion","premonición"
"preocupacion","preocupación"
"preparacion","preparación"
"preposicion","preposición"
"presentacion","presentación"
"preservacion","preservación"
"presicion","precisión"
"presion","presión"
"presisa","precisa"
"presiso","preciso"
"prestamo","préstamo"
"prestamos","préstamos"
"presuncion","presunción"
"prevencion","prevención"
"prever","preveer"
"prevision","previsión"
"principe","príncipe"
"principes","príncipes"
"prision","prisión"
"privacion","privación"
"probiotico","probiótico"
"probioticos","probióticos"
"problematica","problemática"
"problematicas","problemáticas"
"problematico","problemático"
